"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft Windows Desktop Targeting Pack - 9.0.9 (x64)","72.36.39253","Microsoft Corporation","20250910"
"Python 3.13.7 Executables (64-bit symbols)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)","18.5.9214","Microsoft Corporation","20250918"
"Microsoft .NET Host - 9.0.9 (x64)","72.36.39216","Microsoft Corporation","20250910"
"Windows Subsystem for Linux","2.6.1.0","Microsoft Corporation","20250912"
"Python 3.12.7 Executables (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Python 3.14.0rc2 Standard Library (64-bit)","3.14.122.0","Python Software Foundation","20250915"
"Office 16 Click-to-Run Extensibility Component","16.0.19127.20154","Microsoft Corporation","20250917"
"Office 16 Click-to-Run Localization Component","16.0.19127.20154","Microsoft Corporation","20250917"
"Python 3.12.7 Test Suite (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Python 3.14.0rc2 Development Libraries (64-bit)","3.14.122.0","Python Software Foundation","20250915"
"Python 3.13.7 Test Suite (64-bit symbols)","3.13.7150.0","Python Software Foundation","20250918"
"Python 3.13.7 Development Libraries (64-bit)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","72.48.39204","Microsoft Corporation","20250910"
"Python 3.12.7 Tcl/Tk Support (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Microsoft .NET AppHost Pack - 8.0.20 (x64)","64.80.39230","Microsoft Corporation","20250918"
"Python 3.12.7 Add to Path (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","20250903"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.25.18302","Microsoft","20250831"
"Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)","9.0.82","Microsoft Corporation","20250918"
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.4654","Microsoft","20250918"
"IIS Express Application Compatibility Database for x86",,,
"Microsoft Build of OpenJDK  17.0.14+7 (x64)","17.0.14.7","Microsoft","20250915"
"vs_minshellinteropx64msi","17.14.36015","Microsoft Corporation","20250918"
"Python 3.14.0rc2 Test Suite (64-bit)","3.14.122.0","Python Software Foundation","20250915"
"Go Programming Language amd64 go1.25.0","1.25.0","https://go.dev","20250903"
"Microsoft SQL Server 2025 LocalDB CTP2.1","17.0.800.3","Microsoft Corporation","20250915"
"Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)","15.5.9214","Microsoft Corporation","20250918"
"Node.js","24.8.0","Node.js Foundation","20250918"
"Python 3.13.7 Core Interpreter (64-bit)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35503","14.50.35503","Microsoft Corporation","20250915"
"Python 3.14.0rc2 Tcl/Tk Support (64-bit)","3.14.122.0","Python Software Foundation","20250915"
"Python 3.13.7 Executables (64-bit debug)","3.13.7150.0","Python Software Foundation","20250918"
"DiagnosticsHub_CollectionService","17.14.36412","Microsoft Corporation","20250918"
"Python 3.14.0rc2 Add to Path (64-bit)","3.14.122.0","Python Software Foundation","20250915"
"Python 3.12.10 pip Bootstrap (64-bit)","3.12.10150.0","Python Software Foundation","20250915"
"Python 3.13.7 pip Bootstrap (64-bit)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)","18.5.9214","Microsoft Corporation","20250918"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","72.0.39216","Microsoft Corporation","20250910"
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)","18.0.9617","Microsoft Corporation","20250903"
"Windows SDK DirectX x64 Remote","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft Windows Desktop Runtime - 8.0.20 (x64)","64.80.39251","Microsoft Corporation","20250918"
"Microsoft Windows Desktop Targeting Pack - 8.0.20 (x64)","64.80.39251","Microsoft Corporation","20250918"
"Application Verifier x64 External Package (OnecoreUAP)","10.1.26100.4654","Microsoft","20250918"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","72.0.39216","Microsoft Corporation","20250910"
"Python 3.12.10 Standard Library (64-bit)","3.12.10150.0","Python Software Foundation","20250915"
"Microsoft Web Deploy 4.0","10.0.9419","Microsoft Corporation","20250915"
"PowerShell 7-preview-x64","7.6.0.4","Microsoft Corporation","20250910"
"Universal CRT Tools x64","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft.NET.Sdk.iOS.Manifest-9.0.100 (x64)","18.5.9214","Microsoft Corporation","20250918"
"Python 3.13.7 Freethreaded Interpreter (64-bit debug)","3.13.7150.0","Python Software Foundation","20250918"
"Python 3.13.7 Executables (64-bit)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","72.48.39204","Microsoft Corporation","20250910"
"Microsoft SQL Server 2019 LocalDB ","15.0.4382.1","Microsoft Corporation","20250918"
"Microsoft ASP.NET Core 9.0.9 Shared Framework (x64)","9.0.9.25420","Microsoft Corporation","20250910"
"Python 3.12.7 Development Libraries (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)","72.48.39204","Microsoft Corporation","20250910"
"Microsoft ASP.NET Core 8.0.20 Shared Framework (x64)","8.0.20.25420","Microsoft Corporation","20250918"
"Python 3.12.10 Development Libraries (64-bit)","3.12.10150.0","Python Software Foundation","20250915"
"Microsoft .NET Targeting Pack - 9.0.9 (x64)","72.36.39216","Microsoft Corporation","20250910"
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0","Microsoft Corporation","20250918"
"VS Script Debugging Common","17.0.157.0","Microsoft Corporation","20250918"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20250918"
"Python 3.13.7 Freethreaded Interpreter (64-bit)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0","Microsoft Corporation","20250918"
"Microsoft .NET AppHost Pack - 8.0.20 (x64_arm64)","64.80.39230","Microsoft Corporation","20250918"
"Microsoft .NET Runtime - 9.0.9 (x64)","72.36.39216","Microsoft Corporation","20250910"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250918"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)","72.0.39216","Microsoft Corporation","20250910"
"Python 3.12.7 Standard Library (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Visual Studio Community 2022","17.14.15 (September 2025)","Microsoft Corporation","20250918"
"Google Chrome","140.0.7339.128","Google LLC","20250911"
"Microsoft Edge","140.0.3485.66","Microsoft Corporation","20250913"
"Microsoft Edge WebView2 Runtime","140.0.3485.66","Microsoft Corporation","20250912"
"Nmap 7.98","7.98","Nmap Project",
"Npcap","1.83","Nmap Project",
"OBS Studio","31.1.2","OBS Project",
"Wireshark 4.4.9 x64","4.4.9","The Wireshark developer community, https://www.wireshark.org",
"Windows SDK Desktop Headers x86","10.1.26100.4654","Microsoft Corporation","20250918"
"WinRT Intellisense PPI - en-us","10.1.26100.4654","Microsoft Corporation","20250918"
"Universal CRT Redistributable","10.0.26624","Microsoft Corporation","20250918"
"WinRT Intellisense Desktop - Other Languages","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft Windows Desktop Targeting Pack - 9.0.9 (x86)","72.36.39253","Microsoft Corporation","20250918"
"Microsoft ASP.NET Core 8.0.20 Shared Framework (x86)","8.0.20.25420","Microsoft Corporation","20250918"
"Windows SDK Desktop Tools arm64","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","14.44.35211.0","Microsoft Corporation",
"Microsoft .NET Targeting Pack - 9.0.9 (x86)","72.36.39216","Microsoft Corporation","20250918"
"Universal CRT Extension SDK","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft .NET CoreRuntime SDK","1.1.27004.0","Microsoft Corporation","20250918"
"Windows SDK EULA","10.1.26100.4654","Microsoft Corporations","20250918"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062","Microsoft Corporation","20250918"
"Windows Mobile Extension SDK","10.1.26100.4654","Microsoft Corporation","20250918"
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","20250915"
"vs_clickoncebootstrappermsi","17.14.36015","Microsoft Corporation","20250918"
"vs_tipsmsi","17.14.36015","Microsoft Corporation","20250918"
"Microsoft Windows Desktop Runtime - 8.0.20 (x86)","64.80.39251","Microsoft Corporation","20250918"
"Windows SDK Desktop Libs x86","10.1.26100.4654","Microsoft Corporation","20250918"
"vs_filehandler_amd64","17.14.36024","Microsoft Corporation","20250918"
"Entity Framework 6.5.0 Tools  for Visual Studio 2022","6.5.0.0","Microsoft Corporation","20250918"
"vs_githubprotocolhandlermsi","17.14.36015","Microsoft Corporation","20250918"
"WinRT Intellisense PPI - Other Languages","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK Desktop Headers x64","10.1.26100.4654","Microsoft Corporation","20250918"
"Pacote de Direcionamento do Microsoft .NET Framework 4.8 (Português (Brasil))","4.8.03761","Microsoft Corporation","20250918"
"Windows Software Development Kit - Windows 10.0.26100.4654","10.1.26100.4654","Microsoft Corporation",
"SDK ARM64 Redistributables","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft ASP.NET Core 8.0.20 Targeting Pack (x86)","8.0.20.25420","Microsoft Corporation","20250918"
"Windows App Certification Kit x64","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK OnecoreUap Headers x86","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK for Windows Store Apps Libs","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK Facade Windows WinMD Versioned","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows Desktop Extension SDK Contracts","10.1.26100.4654","Microsoft Corporation","20250918"
"Suricata IDS/IPS 2.0.2-1-32bit","1.4","Open Information Security Foundation","20250918"
"MSI Development Tools","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows Desktop Extension SDK","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft .NET CoreRuntime For CoreCon","1.0.0.0","Microsoft Corporation","20250918"
"Python 3.13.6 Documentation (32-bit)","3.13.6150.0","Python Software Foundation","20250915"
"vs_communitymsires","17.14.36015","Microsoft Corporation","20250918"
"Microsoft Visual Studio Setup WMI Provider","3.12.2140.44225","Microsoft Corporation","20250918"
"Windows SDK for Windows Store Apps Metadata","10.1.26100.4654","Microsoft Corporation","20250918"
"Java Auto Updater","2.8.461.11","Oracle Corporation","20250916"
"Pacote de Direcionamento do Microsoft .NET Framework 4.7.2 (Português (Brasil))","4.7.03062","Microsoft Corporation","20250918"
"vs_clickoncesigntoolmsi","17.14.36015","Microsoft Corporation","20250918"
"Windows SDK Desktop Tools x86","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK for Windows Store Managed Apps Libs","10.1.26100.4654","Microsoft Corporation","20250918"
"vs_minshellinteropsharedmsi","17.14.36015","Microsoft Corporation","20250918"
"Windows SDK Desktop Libs x64","10.1.26100.4654","Microsoft Corporation","20250918"
"vcpp_crt.redist.clickonce","14.44.35211","Microsoft Corporation","20250918"
"Windows SDK Redistributables","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows IoT Extension SDK Contracts","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.50.35503","14.50.35503.0","Microsoft Corporation",
"Python 3.13.6 Tcl/Tk Support (32-bit)","3.13.6150.0","Python Software Foundation","20250915"
"Visual C++ Library CRT ARM64 Appx Package","14.44.35208","Microsoft Corporation","20250918"
"Windows SDK Modern Versioned Developer Tools","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK Desktop Libs arm64","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK DirectX x86 Remote","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK OnecoreUap Headers arm64","10.1.26100.4654","Microsoft Corporation","20250918"
"icecap_collectionresourcesx64","17.14.36015","Microsoft Corporation","20250918"
"vs_filehandler_x86","17.14.36024","Microsoft Corporation","20250918"
"WinRT Intellisense IoT - en-us","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows IoT Extension SDK","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft .NET Host FX Resolver - 9.0.9 (x86)","72.36.39216","Microsoft Corporation","20250918"
"WinAppDeploy","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","17.14.122.59099","Microsoft Corporation","20250918"
"Java 8 Update 461","8.0.4610.11","Oracle Corporation","20250918"
"vs_communitysharedmsi","17.14.36025","Microsoft Corporation","20250918"
"WPTx64 (OnecoreUAP)","10.1.26100.4654","Microsoft","20250918"
"Windows SDK ARM64 Desktop Tools","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft NetStandard SDK","15.0.51105","Microsoft Corporation","20250918"
"vs_vswebprotocolselectormsires","17.14.36323","Microsoft Corporation","20250918"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.26100.4654","Microsoft Corporation","20250918"
"WinRT Intellisense IoT - Other Languages","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft Windows Desktop Targeting Pack - 8.0.20 (x86)","64.80.39251","Microsoft Corporation","20250918"
"Microsoft .NET Runtime - 9.0.9 (x86)","72.36.39216","Microsoft Corporation","20250918"
"Windows SDK for Windows Store Apps Contracts","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft TestPlatform SDK Local Feed","17.10.0.9037153","Microsoft","20250918"
"Wazuh Agent","4.12.0","Wazuh, Inc.","20250918"
"Visual C++ Library CRT Appx Package","14.44.35208","Microsoft Corporation","20250918"
"Windows SDK for Windows Store Apps Headers OnecoreUap","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.26100.4654","Microsoft Corporation","20250918"
"Universal General MIDI DLS Extension SDK","10.1.26100.4654","Microsoft Corporation","20250918"
"Python Launcher","3.13.7150.0","Python Software Foundation","20250918"
"windows_toolscorepkg","17.14.36015","Microsoft Corporation","20250918"
"vs_minshellmsires","17.14.36015","Microsoft Corporation","20250918"
"Microsoft Windows Desktop Runtime - 9.0.9 (x86)","72.36.39253","Microsoft Corporation","20250918"
"Kits Configuration Installer","10.1.26100.4654","Microsoft","20250918"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250918"
"Visual C++ Library CRT Appx Package","14.44.35208","Microsoft Corporation","20250918"
"Windows App Certification Kit x64 (OnecoreUAP)","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft .NET Framework 4.8 SDK","4.8.03928","Microsoft Corporation","20250918"
"Windows SDK","10.1.26100.4654","Microsoft Corporation","20250918"
"Visual C++ Library CRT Desktop Appx Package","14.44.35208","Microsoft Corporation","20250918"
"vs_BlendMsi","17.14.36015","Microsoft Corporation","20250918"
"WPT Redistributables","10.1.26100.4654","Microsoft","20250918"
"vs_clickoncebootstrappermsires","17.14.36015","Microsoft Corporation","20250918"
"Microsoft ASP.NET Core 9.0.9 Shared Framework (x86)","9.0.9.25420","Microsoft Corporation","20250918"
"Microsoft .NET Targeting Pack - 8.0.20 (x86)","64.80.39230","Microsoft Corporation","20250918"
"Windows SDK for Windows Store Apps Tools","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft .NET Runtime - 8.0.20 (x86)","64.80.39230","Microsoft Corporation","20250918"
"WPTx64 (DesktopEditions)","10.1.26100.4654","Microsoft","20250918"
"Windows Team Extension SDK Contracts","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft .NET SDK 9.0.305 (x64)","9.3.525.42112","Microsoft Corporation",
"Windows App Certification Kit SupportedApiList x86","10.1.26100.4654","Microsoft Corporation","20250918"
"SDK do Microsoft .NET Framework 4.8 (Português (Brasil))","4.8.03761","Microsoft Corporation","20250918"
"Windows SDK for Windows Store Apps Headers","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft ASP.NET Core 9.0.9 Targeting Pack (x86)","9.0.9.25420","Microsoft Corporation","20250918"
"vs_devenvsharedmsi","17.14.36015","Microsoft Corporation","20250918"
"vs_vswebprotocolselectormsi","17.14.36323","Microsoft Corporation","20250918"
"Universal CRT Headers Libraries and Sources","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.03761","Microsoft Corporation","20250918"
"Windows Team Extension SDK","10.1.26100.4654","Microsoft Corporation","20250918"
"Visual C++ Library CRT Desktop Appx Package","14.44.35208","Microsoft Corporation","20250918"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250918"
"icecap_collection_neutral","17.14.36015","Microsoft Corporation","20250918"
"WinRT Intellisense Mobile - en-us","10.1.26100.4654","Microsoft Corporation","20250918"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.09256","Microsoft Corporation","20250918"
"VS Immersive Activate Helper","17.0.157.0","Microsoft Corporation","20250918"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250918"
"icecap_collectionresources","17.14.36015","Microsoft Corporation","20250918"
"Python 3.13.6 Development Libraries (32-bit)","3.13.6150.0","Python Software Foundation","20250915"
"Microsoft UniversalWindowsPlatform SDK","15.9.16","Microsoft","20250918"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20250918"
"WinRT Intellisense UAP - Other Languages","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK Desktop Tools x64","10.1.26100.4654","Microsoft Corporation","20250918"
"Visual C++ Library CRT Desktop Appx Package","14.44.35208","Microsoft Corporation","20250918"
"Universal CRT Redistributable","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft Visual Studio Setup Configuration","3.12.2140.44225","Microsoft Corporation","20250918"
"vs_SQLClickOnceBootstrappermsi","17.14.36015","Microsoft Corporation","20250918"
"vs_FileTracker_Singleton","17.14.36015","Microsoft Corporation","20250918"
"Windows SDK Signing Tools","10.1.26100.4654","Microsoft Corporation","20250918"
"vs_Graphics_Singletonx86","17.14.36015","Microsoft Corporation","20250918"
"Visual C++ Library CRT Appx Resource Package","14.44.35208","Microsoft Corporation","20250918"
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation","20250903"
"Universal CRT Tools x86","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK OnecoreUap Headers x64","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK Desktop Headers arm64","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft .NET Host - 9.0.9 (x86)","72.36.39216","Microsoft Corporation","20250918"
"WinRT Intellisense UAP - en-us","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft .NET Native SDK","15.0.24211.07","Microsoft Corporation","20250918"
"SDK ARM64 Additions","10.1.26100.4654","Microsoft Corporation","20250918"
"Intel(R) Processor Graphics","20.19.15.4531","Intel Corporation",
"Windows Mobile Extension SDK Contracts","10.1.26100.4654","Microsoft Corporation","20250918"
"Pacote IntelliSense Cumulativo do Microsoft .NET Framework para Visual Studio (Português do Brasil)","4.8.09037","Microsoft Corporation","20250918"
"vs_minshellsharedmsi","17.14.36024","Microsoft Corporation","20250918"
"WinRT Intellisense Desktop - en-us","10.1.26100.4654","Microsoft Corporation","20250918"
"Windows SDK for Windows Store Apps","10.1.26100.4654","Microsoft Corporation","20250918"
